	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:1:4:7:SANXIA_B_E	0	0	1	3	0	0	4	0	1	4	0	13
2016:1:4:7:SHILIN_S	0	0	0	7	0	0	8	0	2	8	0	13
2016:1:4:7:SHILIN_ZL	0	0	1	0	0	1	2	2	5	4	0	18
2016:1:4:7:SIYUAN_E	0	0	1	2	0	0	4	1	6	4	0	4
2016:1:4:7:SONGSHAN_S	0	0	3	2	0	0	5	2	10	3	0	4
2016:1:4:7:SONGSHAN_ZL	0	0	6	5	0	1	14	3	18	5	0	6
2016:1:4:7:TAIDONG_1_E	0	0	1	3	0	0	7	2	7	4	0	9
2016:1:4:7:TAIDONG_1_S	0	0	0	4	0	0	6	1	3	1	0	7
2016:1:4:7:TAIDONG_2_S	0	0	2	4	0	0	6	1	6	5	0	10
2016:1:4:7:TAIDONG_2_ZL	0	0	5	3	1	0	9	4	12	4	0	11
2016:1:4:7:TAIDONG_3_E	0	2	2	1	2	0	7	6	5	3	0	12
2016:1:4:7:TAO_1_A	0	0	0	1	0	0	1	1	4	0	0	13
2016:1:4:7:TAO_1_B	0	0	0	1	0	0	2	0	4	3	0	5
2016:1:4:7:TAO_2_E	1	0	2	3	1	0	6	0	4	4	0	8
2016:1:4:7:TAO_2_S	0	0	1	0	0	0	1	2	3	3	0	2
2016:1:4:7:TAO_3_E	0	0	2	3	0	0	5	1	3	3	0	12
2016:1:4:7:TAO_3_E_ZL	0	0	0	5	0	0	8	1	10	16	0	21
2016:1:4:7:TIANMU_E	0	0	0	1	0	0	1	0	4	3	0	12
2016:1:4:7:TOUFEN_E	0	0	0	0	0	0	0	0	0	0	0	0
2016:1:4:7:TOUR_S	2	1	2	4	3	0	9	2	11	7	0	42
2016:1:4:7:TUCHENG_S	0	2	0	3	2	0	5	2	6	8	0	19
2016:1:4:7:TUCHENG_ZL	0	0	3	2	0	0	6	5	11	8	0	25
2016:1:4:7:WANDA_A_S	0	0	0	2	0	0	3	0	5	2	0	4
2016:1:4:7:WANDA_B_S	0	0	1	1	0	0	5	0	6	3	0	18
2016:1:4:7:WANDA_E	0	1	0	3	1	0	4	1	8	2	0	10
2016:1:4:7:XIANGSHAN_A	0	0	2	1	2	0	3	1	4	3	0	4
2016:1:4:7:XIANGSHAN_B	0	0	0	3	2	0	4	0	11	11	0	21
2016:1:4:7:XINAN_S	0	0	0	5	0	0	5	0	10	8	0	32
2016:1:4:7:XINBAN_E	0	0	3	4	0	0	9	3	14	5	0	5
2016:1:4:7:XINDIAN_E	0	0	0	3	0	0	3	1	8	5	0	8
2016:1:4:7:XINDIAN_S	0	0	0	4	1	0	4	1	10	3	0	6
2016:1:4:7:XINPU_E	0	0	0	2	1	1	3	1	8	3	0	6
2016:1:4:7:XINPU_S	0	1	1	2	1	0	4	1	11	1	0	10
2016:1:4:7:XINZHU_1_E	1	0	2	3	1	0	6	2	6	5	0	8
2016:1:4:7:XINZHU_1_S	0	0	3	3	0	0	10	0	10	7	0	9
2016:1:4:7:XINZHU_3_S	1	0	1	0	0	0	6	2	7	2	0	14
2016:1:4:7:XINZHU_3_ZL	0	1	2	2	0	0	6	2	7	3	0	11
2016:1:4:7:XIZHI_A_E	0	2	1	1	2	0	4	2	8	4	0	9
2016:1:4:7:XIZHI_B_E	0	0	0	3	2	0	4	2	10	5	0	12
2016:1:4:7:XIZHI_S	0	0	1	2	2	0	4	3	10	8	0	15
2016:1:4:7:YILAN_E	0	0	1	5	0	0	6	0	7	5	0	12
2016:1:4:7:YILAN_S	0	0	0	0	1	0	1	0	2	7	0	19
2016:1:4:7:YONGHE_S	0	1	5	1	0	1	16	3	10	11	0	28
2016:1:4:7:YULI_E	0	0	2	9	0	0	11	1	8	5	0	14
2016:1:4:7:YULI_S	0	0	2	3	0	0	5	2	2	6	0	13
2016:1:4:7:ZHONGHE_1_E	0	0	0	2	0	0	7	2	7	5	0	7
2016:1:4:7:ZHONGHE_2_E	0	0	1	6	0	0	7	2	8	2	0	11
2016:1:4:7:ZHONGHE_2_S	0	1	2	2	0	0	5	1	10	6	0	7
2016:1:4:7:ZHONGLI_1_S	0	0	1	2	0	0	4	4	8	4	0	5
2016:1:4:7:ZHONGLI_2_E	0	0	0	3	0	0	4	0	6	3	0	11
2016:1:4:7:ZHONGLI_E	0	0	0	3	0	0	9	0	4	3	0	10
2016:1:4:7:ZHUBEI_1_E	1	0	3	4	0	0	8	2	9	5	0	12
2016:1:4:7:ZHUBEI_2_E	1	0	1	0	0	0	2	2	6	0	0	11
2016:1:4:7:ZHUBEI_3_S	0	1	0	1	0	2	2	0	9	11	0	10
2016:1:4:7:ZHUDONG_E	0	0	0	4	3	0	4	0	2	3	0	5
2016:1:4:7:ZHUDONG_S	1	0	2	2	0	1	5	2	10	0	0	4
2016:1:4:7:ZHUNAN_E	1	0	0	1	0	0	4	1	5	2	0	14
2016:1:4:7:ZHUNAN_S	0	0	1	4	1	0	7	4	9	7	0	10
2016:1:4:7:ZHUWEI_E	1	0	1	2	1	0	4	1	0	4	0	12
2016:1:5:7:ANKANG_E	0	0	3	3	0	0	6	3	13	5	0	7
2016:1:5:7:ASSISTANTS	0	0	7	5	0	0	14	3	8	7	0	12
2016:1:5:7:BADE_A_E	0	0	0	3	0	0	4	0	5	3	0	8
2016:1:5:7:BADE_B_E	0	1	3	1	0	1	10	2	7	5	0	7
2016:1:5:7:BADE_S	1	0	0	3	1	0	4	0	9	6	0	4
2016:1:5:7:BANQIAO_S	0	0	1	1	0	0	2	0	5	1	0	23
2016:1:5:7:BEITOU_E	0	0	0	1	0	0	2	1	6	5	0	10
2016:1:5:7:BEITOU_S	0	1	0	4	0	0	9	1	9	5	0	16
2016:1:5:7:DANFENG_E	0	1	3	3	0	1	7	3	2	0	0	3
2016:1:5:7:DANSHUI_E	1	1	2	2	1	0	7	0	9	8	0	10
2016:1:5:7:GUISHAN_E	0	0	4	0	0	0	5	0	6	1	0	7
2016:1:5:7:HUALIAN_1_E	0	0	1	4	0	0	9	0	7	5	0	11
2016:1:5:7:HUALIAN_1_S	0	0	3	0	0	0	7	3	8	5	0	11
2016:1:5:7:HUALIAN_2_ZL	0	0	1	1	0	0	2	4	11	4	0	7
2016:1:5:7:HUALIAN_3_A_E	0	0	3	0	0	0	6	2	5	4	0	6
2016:1:5:7:HUALIAN_3_B_E	0	0	3	4	0	0	7	1	6	5	0	19
2016:1:5:7:HUALIAN_3_S	0	0	0	3	0	0	8	1	4	6	0	13
2016:1:5:7:JILONG_A_E	0	1	2	4	0	0	7	3	11	5	0	1
2016:1:5:7:JILONG_B_E	0	0	0	5	0	0	5	1	9	2	0	3
2016:1:5:7:JINGXIN_S	0	0	0	1	0	0	1	2	3	1	0	9
2016:1:5:7:JINGXIN_ZL	0	0	5	2	0	0	10	6	8	14	0	13
2016:1:5:7:JINHUA_ZL	0	0	3	6	0	0	12	1	9	7	0	20
2016:1:5:7:LONGTAN_E	1	0	0	1	0	0	3	4	6	3	0	13
2016:1:5:7:LUODONG_A_E	0	0	0	1	0	0	7	4	11	6	0	1
2016:1:5:7:LUODONG_B_E	0	1	0	6	0	0	9	2	5	4	0	13
2016:1:5:7:LUZHOU_A_E	0	0	2	2	0	1	4	1	8	1	0	4
2016:1:5:7:LUZHOU_B_E	0	0	0	0	0	0	3	0	1	4	0	12
2016:1:5:7:MIAOLI_A_E	0	0	1	2	0	0	3	3	7	7	0	5
2016:1:5:7:MIAOLI_B_E	0	0	1	2	0	0	5	3	5	0	0	11
2016:1:5:7:MUZHA_E	0	0	3	4	0	0	12	3	5	14	0	18
2016:1:5:7:MUZHA_S	0	0	1	2	0	0	3	2	6	8	0	26
2016:1:5:7:NEIHU_E	0	0	1	1	0	1	2	0	9	4	0	7
2016:1:5:7:NEIHU_S	0	0	0	2	0	0	2	2	4	1	0	9
2016:1:5:7:SANCHONG_E	0	0	2	0	0	1	4	3	12	3	0	5
2016:1:5:7:SANCHONG_S	0	0	0	0	0	0	0	1	2	6	0	14
2016:1:5:7:SANXIA_A_E	0	0	0	4	0	0	6	0	6	10	0	20
2016:1:5:7:SANXIA_B_E	0	0	0	6	0	0	6	4	7	6	0	12
2016:1:5:7:SHILIN_S	0	0	0	2	0	0	2	0	4	4	0	7
2016:1:5:7:SHILIN_ZL	0	0	0	1	0	0	1	1	5	2	0	14
2016:1:5:7:SIYUAN_E	0	0	1	1	0	0	5	1	4	8	0	17
2016:1:5:7:SONGSHAN_S	0	0	2	2	0	0	4	0	9	5	0	7
2016:1:5:7:SONGSHAN_ZL	0	0	7	4	1	0	12	2	16	4	0	8
2016:1:5:7:TAIDONG_1_E	0	0	2	3	0	0	9	2	7	4	0	9
2016:1:5:7:TAIDONG_1_S	0	0	0	2	0	0	3	0	4	4	0	16
2016:1:5:7:TAIDONG_2_S	0	0	2	2	0	0	4	4	7	2	0	7
2016:1:5:7:TAIDONG_2_ZL	1	0	5	4	1	0	9	6	15	5	0	4
2016:1:5:7:TAIDONG_3_E	0	2	4	2	2	0	9	3	6	3	0	14
2016:1:5:7:TAO_1_A	0	0	1	0	0	0	1	3	1	1	0	17
2016:1:5:7:TAO_1_B	0	0	0	0	0	0	1	0	5	0	0	4
2016:1:5:7:TAO_2_E	1	0	2	3	1	0	6	0	4	4	0	6
2016:1:5:7:TAO_2_S	0	0	1	0	0	0	2	2	2	2	0	11
2016:1:5:7:TAO_3_E	0	0	0	2	0	0	2	0	4	4	0	1
2016:1:5:7:TAO_3_E_ZL	0	0	1	5	0	0	9	2	8	5	0	12
2016:1:5:7:TAO_4_E	0	0	2	4	0	0	7	0	4	3	0	13
2016:1:5:7:TAO_4_S	0	0	2	2	0	1	5	0	10	7	0	18
2016:1:5:7:TIANMU_E	0	0	0	1	0	0	1	0	2	1	0	10
2016:1:5:7:TOUFEN_E	1	0	1	3	1	1	5	3	8	1	0	6
2016:1:5:7:TOUR_S	0	0	3	2	0	1	5	1	9	3	0	29
2016:1:5:7:TUCHENG_A_S	0	1	0	4	0	1	5	0	2	4	0	12
2016:1:5:7:TUCHENG_S	0	0	0	0	0	0	1	0	1	3	0	6
2016:1:5:7:TUCHENG_ZL	0	0	3	2	0	0	6	2	8	9	0	8
2016:1:5:7:WANDA_A_S	0	0	0	2	0	0	3	0	2	2	0	21
2016:1:5:7:WANDA_B_S	0	0	1	0	0	0	3	0	6	2	0	16
2016:1:5:7:WANDA_E	0	0	1	2	0	1	5	0	4	4	0	20
2016:1:5:7:XIANGSHAN_A	0	0	1	0	0	0	1	1	3	5	0	8
2016:1:5:7:XIANGSHAN_B	0	0	0	4	0	0	4	2	9	5	0	8
2016:1:5:7:XINAN_S	0	0	1	2	0	0	3	2	3	6	0	23
2016:1:5:7:XINBAN_E	0	1	1	4	0	0	6	1	11	1	0	10
2016:1:5:7:XINDIAN_E	0	0	0	3	0	0	3	2	6	5	0	10
2016:1:5:7:XINDIAN_S	0	0	1	3	0	0	4	2	10	9	0	15
2016:1:5:7:XINPU_E	0	0	1	3	0	0	4	4	8	2	0	8
2016:1:5:7:XINPU_S	0	0	3	3	0	1	10	2	8	6	0	18
2016:1:5:7:XINZHU_1_E	0	0	2	3	0	1	6	2	8	3	0	11
2016:1:5:7:XINZHU_1_S	0	0	3	1	0	0	7	4	8	6	0	13
2016:1:5:7:XINZHU_3_S	0	0	1	4	0	0	7	1	10	7	0	21
2016:1:5:7:XINZHU_3_ZL	0	1	4	2	0	0	9	5	9	5	0	16
2016:1:5:7:XIZHI_A_E	0	1	0	0	0	2	1	1	10	5	0	10
2016:1:5:7:XIZHI_B_E	0	0	0	3	0	0	4	3	7	5	0	17
2016:1:5:7:XIZHI_S	0	0	1	2	0	0	3	1	7	6	0	15
2016:1:5:7:YILAN_E	0	0	1	1	0	0	2	0	2	0	0	9
2016:1:5:7:YILAN_S	0	0	0	1	0	0	2	2	10	12	0	15
2016:1:5:7:YONGHE_S	0	0	6	3	0	0	15	4	11	6	0	20
2016:1:5:7:YULI_E	0	0	3	3	0	0	6	1	6	3	0	19
2016:1:5:7:YULI_S	0	0	1	2	0	0	3	0	1	3	0	17
2016:1:5:7:ZHONGHE_1_E	0	0	1	1	0	0	5	1	8	6	0	3
2016:1:5:7:ZHONGHE_2_E	0	0	1	5	0	0	6	2	6	4	0	15
2016:1:5:7:ZHONGHE_2_S	0	0	2	2	0	1	7	2	9	5	0	9
2016:1:5:7:ZHONGLI_1_E	0	0	2	3	0	0	11	2	5	1	0	7
2016:1:5:7:ZHONGLI_1_S	0	0	1	1	0	0	7	3	4	7	0	11
2016:1:5:7:ZHONGLI_2_E	0	0	0	2	0	0	4	0	4	1	0	8
2016:1:5:7:ZHUBEI_1_E	0	0	4	3	0	0	7	2	7	7	0	21
2016:1:5:7:ZHUBEI_2_E	0	0	1	0	1	1	1	1	3	1	0	5
2016:1:5:7:ZHUBEI_2_S	0	0	2	2	1	0	4	2	5	1	0	3
2016:1:5:7:ZHUBEI_3_S	0	1	0	2	0	0	3	0	6	2	0	9
2016:1:5:7:ZHUDONG_E	0	0	0	4	0	0	4	1	2	2	0	3
2016:1:5:7:ZHUDONG_S	1	0	2	2	0	0	5	2	10	1	0	3
2016:1:5:7:ZHUNAN_E	0	0	0	1	0	1	3	1	3	5	0	16
2016:1:5:7:ZHUNAN_S	0	0	1	5	0	0	7	3	7	1	0	9
2016:1:5:7:ZHUWEI_E	0	1	0	2	0	0	3	2	2	2	0	6
2016:2:1:7:ANKANG_E	0	0	3	4	0	0	7	2	10	4	0	11
2016:2:1:7:ASSISTANTS	0	0	7	5	0	0	23	0	5	7	1	16
2016:2:1:7:BADE_A_E	0	0	0	3	0	0	5	0	4	2	0	7
2016:2:1:7:BADE_B_E	1	0	3	3	0	0	9	1	8	6	0	6
2016:2:1:7:BADE_S	1	0	0	1	0	0	2	1	7	7	0	14
2016:2:1:7:BANQIAO_S	0	0	1	1	0	0	2	2	1	3	0	20
2016:2:1:7:BEITOU_E	0	0	1	4	0	0	5	1	6	5	0	14
2016:2:1:7:BEITOU_S	0	1	0	1	0	0	9	0	12	5	0	7
2016:2:1:7:DANFENG_E	0	1	3	3	0	0	7	0	5	2	0	4
2016:2:1:7:DANSHUI_E	1	1	2	2	0	0	7	1	10	6	2	8
2016:2:1:7:GUISHAN_E	0	0	2	0	0	0	4	2	7	0	0	20
2016:2:1:7:HUALIAN_1_E	0	0	0	6	0	0	7	0	8	3	1	6
2016:2:1:7:HUALIAN_1_S	0	1	2	0	0	0	6	3	3	10	0	20
2016:2:1:7:HUALIAN_2_ZL	0	0	0	0	0	0	3	6	7	4	0	6
2016:2:1:7:HUALIAN_3_A_E	0	0	3	0	0	0	5	0	4	3	0	9
2016:2:1:7:HUALIAN_3_B_E	0	0	3	6	0	0	9	0	8	4	0	2
2016:2:1:7:HUALIAN_3_S	0	0	0	3	0	0	4	1	5	2	0	4
2016:2:1:7:JILONG_A_E	0	1	1	4	0	0	6	4	9	2	0	3
2016:2:1:7:JILONG_B_E	0	0	0	7	0	0	7	5	4	6	0	8
2016:2:1:7:JINGXIN_S	0	0	0	0	0	0	1	0	2	3	0	7
2016:2:1:7:JINGXIN_ZL	0	0	7	0	0	0	12	3	11	11	0	8
2016:2:1:7:JINHUA_ZL	0	1	2	8	0	0	14	0	7	6	0	13
2016:2:1:7:LONGTAN_E	0	0	0	0	0	1	3	2	4	1	0	7
2016:2:1:7:LUODONG_A_E	0	0	0	1	0	0	3	3	7	3	0	5
2016:2:1:7:LUODONG_B_E	0	1	0	5	0	0	7	1	12	4	0	11
2016:2:1:7:LUZHOU_A_E	0	0	1	3	0	0	4	1	8	7	0	9
2016:2:1:7:LUZHOU_B_E	0	0	1	4	0	0	6	1	7	10	0	18
2016:2:1:7:MIAOLI_A_E	0	1	1	0	0	0	2	2	8	2	0	3
2016:2:1:7:MIAOLI_B_E	0	0	1	0	0	0	1	2	4	2	0	7
2016:2:1:7:MUZHA_E	0	1	2	5	0	0	12	4	5	16	0	27
2016:2:1:7:MUZHA_S	0	0	2	4	0	0	6	1	4	9	0	13
2016:2:1:7:NEIHU_E	0	0	1	2	0	0	3	1	4	2	0	7
2016:2:1:7:NEIHU_S	0	0	1	2	0	0	3	0	3	2	0	10
2016:2:1:7:OFFICE_E	0	0	0	2	0	0	2	1	2	0	1	1
2016:2:1:7:SANCHONG_E	0	0	2	2	0	0	4	4	16	3	0	3
2016:2:1:7:SANCHONG_S	0	0	0	0	0	0	2	1	5	6	0	13
2016:2:1:7:SANXIA_A_E	0	0	1	3	0	0	4	1	11	6	1	12
2016:2:1:7:SANXIA_B_E	0	0	0	5	0	0	7	1	1	8	0	7
2016:2:1:7:SHILIN_S	0	0	0	1	0	0	1	0	2	1	0	9
2016:2:1:7:SHILIN_ZL	0	0	1	0	0	0	5	1	7	4	0	9
