		CLASS_LEVEL	TOTAL_STUDENTS	TOTAL_NONMEMBERS	NEW_STUDENTS	NEW_INVESTIGATORS
2016:1:2:7:NEIHU_S	+886972576565	Advanced	0	0	1	2
2016:1:2:7:NORTH_JINHUA_E	+886972576554	Beginner	0	0	2	4
2016:1:2:7:OFFICE_E	+886910358944	Intermediate	0	0	0	1
2016:1:2:7:SANCHONG_E	+886963809216	Children	0	0	2	2
2016:1:2:7:SANCHONG_S	+886972576587	Advanced	0	1	2	0
2016:1:2:7:SANXIA_B	+886972576153	Beginner	0	0	0	1
2016:1:2:7:SHILIN_E	+886972576564	Intermediate	0	1	1	1
2016:1:2:7:SHILIN_S	+886972576543	Children	0	0	0	6
2016:1:2:7:SIYUAN_E	+886972576516	Advanced	0	0	1	2
2016:1:2:7:SONGSHAN_E	+886963938192	Beginner	0	0	4	5
2016:1:2:7:SONGSHAN_S	+886963572706	Intermediate	0	0	1	3
2016:1:2:7:TAIDONG_1_E	+886972576519	Children	0	0	2	3
2016:1:2:7:TAIDONG_1_S	+886972576596	Advanced	0	0	0	4
2016:1:2:7:TAIDONG_2_E	+886972576593	Beginner	1	0	5	4
2016:1:2:7:TAIDONG_2_S	+886972576150	Intermediate	0	0	1	4
2016:1:2:7:TAIDONG_3_E	+886965005802	Children	0	0	4	1
2016:1:2:7:TAO_1_A	+886972576556	Advanced	0	0	0	1
2016:1:2:7:TAO_2_E	+886963539987	Beginner	1	0	2	3
2016:1:2:7:TAO_2_S	+886963719073	Intermediate	0	0	1	0
2016:1:2:7:TAO_3_E	+886972576578	Children	0	0	2	3
2016:1:2:7:TAO_3_E_ZL	+886972576524	Advanced	0	0	0	4
2016:1:2:7:TIANMU_E	+886972576547	Beginner	0	0	0	2
2016:1:2:7:TOUFEN_E	+886972576590	Intermediate	0	1	1	1
2016:1:2:7:TOUR_S	+886963771573	Children	2	2	1	4
2016:1:2:7:TUCHENG_B_S	+886963536133	Advanced	0	1	1	3
2016:1:2:7:TUCHENG_E	+886972576539	Beginner	0	1	1	2
2016:1:2:7:WANDA_A_S	+886972576559	Intermediate	0	0	0	0
2016:1:2:7:WANDA_B_S	+886963932617	Children	0	0	1	0
2016:1:2:7:WANDA_E	+886972576562	Advanced	0	1	0	4
2016:1:2:7:XIANGSHAN_A	+886912576011	Beginner	0	0	1	1
2016:1:2:7:XIANGSHAN_B	+886965073051	Intermediate	0	0	0	4
2016:1:2:7:XINAN_S	+886972576561	Children	0	0	0	3
2016:1:2:7:XINBAN_E	+886972576506	Advanced	0	0	2	3
2016:1:2:7:XINDIAN_E	+886972576548	Beginner	0	0	0	2
2016:1:2:7:XINDIAN_S	+886972576518	Intermediate	0	0	1	6
2016:1:2:7:XINPU_E	+886972576504	Children	1	0	0	1
2016:1:2:7:XINPU_S	+886965113871	Advanced	0	0	1	3
2016:1:2:7:XINZHU_1_E	+886972576526	Beginner	1	0	2	2
2016:1:2:7:XINZHU_1_S	+886972576569	Intermediate	0	0	3	3
2016:1:2:7:XINZHU_3_E	+886972576563	Children	0	1	2	2
2016:1:2:7:XINZHU_3_S	+886963660292	Advanced	1	0	1	0
2016:1:2:7:XIZHI_A_E	+886972576509	Beginner	0	2	1	1
2016:1:2:7:XIZHI_B_E	+886972576156	Intermediate	0	0	0	2
2016:1:2:7:XIZHI_S	+886963873617	Children	0	0	2	1
2016:1:2:7:YILAN_E	+886972576558	Advanced	0	0	2	2
2016:1:2:7:YILAN_S	+886963917157	Beginner	0	0	0	0
2016:1:2:7:YONGHE_S	+886972576513	Intermediate	1	0	5	3
2016:1:2:7:YULI_E	+886972576594	Children	0	0	1	9
2016:1:2:7:YULI_S	+886972576538	Advanced	0	0	0	2
2016:1:2:7:ZHONGHE_1_E	+886972576514	Beginner	0	0	0	1
2016:1:2:7:ZHONGHE_2_E	+886972576511	Intermediate	0	0	0	7
2016:1:2:7:ZHONGHE_2_S	+886963535582	Children	0	1	2	2
2016:1:2:7:ZHONGLI_1_S	+886972576581	Advanced	0	0	1	2
2016:1:2:7:ZHONGLI_2_E	+886972576584	Beginner	0	0	0	4
2016:1:2:7:ZHONGLI_E	+886972576568	Intermediate	0	0	0	3
2016:1:2:7:ZHUBEI_1_E	+886972576582	Children	1	0	2	5
2016:1:2:7:ZHUBEI_1_S	+886972576540	Advanced	2	1	0	1
2016:1:2:7:ZHUBEI_2_E	+886972576583	Beginner	1	0	1	0
2016:1:2:7:ZHUBEI_2_S	+886972576574	Intermediate	0	0	1	3
2016:1:2:7:ZHUDONG_E	+886972576528	Children	0	0	0	2
2016:1:2:7:ZHUDONG_S	+886912576094	Advanced	2	0	2	2
2016:1:2:7:ZHUNAN_E	+886963761862	Beginner	1	0	0	1
2016:1:2:7:ZHUNAN_S	+886972576155	Intermediate	0	1	1	4
2016:1:2:7:ZHUWEI_E	+886912576043	Children	1	0	1	2
2016:1:4:7:	0	Advanced	0	0	0	0
2016:1:4:7:ANKANG_E	+886972576529	Beginner	0	0	1	2
2016:1:4:7:ASSISTANTS	+886972576500	Intermediate	0	0	7	3
2016:1:4:7:BADE_A_E	+886912576044	Children	0	0	2	4
2016:1:4:7:BADE_B_E	+886972939022	Advanced	0	1	4	0
2016:1:4:7:BADE_S	+886912576049	Beginner	1	0	0	2
2016:1:4:7:BANQIAO_S	+886972961085	Intermediate	0	0	0	0
2016:1:4:7:BEITOU_E	+886972576546	Children	0	0	0	1
2016:1:4:7:BEITOU_S	+886963790682	Advanced	0	0	3	4
2016:1:4:7:DANFENG_E	+886972576517	Beginner	0	2	3	3
2016:1:4:7:DANSHUI_E	+886963938175	Intermediate	1	1	1	3
2016:1:4:7:GUISHAN_E	+886972576585	Children	0	0	4	2
2016:1:4:7:HUALIAN_1_E	+886972576536	Advanced	0	0	2	3
2016:1:4:7:HUALIAN_1_S	+886972576591	Beginner	0	0	0	3
2016:1:4:7:HUALIAN_3_A_E	+886963832102	Intermediate	0	0	3	0
2016:1:4:7:HUALIAN_3_B_E	+886965118137	Children	0	0	3	6
2016:1:4:7:HUALIAN_3_S	+886972576512	Advanced	0	0	3	0
2016:1:4:7:JIAN_E	+886972576592	Beginner	0	1	1	2
2016:1:4:7:JILONG_A_E	+886972576520	Intermediate	0	0	2	5
2016:1:4:7:JILONG_B_E	+886972987783	Children	0	0	0	3
2016:1:4:7:JINGXIN_E	+886972576508	Advanced	0	0	2	6
2016:1:4:7:JINGXIN_S	+886972576573	Beginner	0	0	0	1
2016:1:4:7:LONGTAN_E	+886972576560	Intermediate	0	0	1	1
2016:1:4:7:LUODONG_A_E	+886963917870	Children	0	0	0	1
2016:1:4:7:LUODONG_B_E	+886963912027	Advanced	0	0	1	6
2016:1:4:7:LUZHOU_E	+886972576542	Beginner	1	0	3	1
2016:1:4:7:MIAOLI_A_E	+886963537337	Intermediate	0	0	1	2
2016:1:4:7:MIAOLI_B_E	+886963911267	Children	0	0	1	1
2016:1:4:7:MUZHA_E	+886972576510	Advanced	0	0	1	7
2016:1:4:7:MUZHA_S	+886963796383	Beginner	0	0	2	5
2016:1:4:7:NANKAN_E	+886963731605	Intermediate	0	0	0	2
2016:1:4:7:NANKAN_S	+886972576377	Children	0	1	2	2
2016:1:4:7:NEIHU_S	+886972576565	Advanced	0	0	1	0
2016:1:4:7:NORTH_JINHUA_E	+886972576554	Beginner	0	0	1	1
2016:1:4:7:SANCHONG_E	+886963809216	Intermediate	0	0	2	3
2016:1:4:7:SANCHONG_S	+886972576587	Children	1	0	2	0
2016:1:4:7:SANXIA_A	+886963917982	Advanced	0	0	0	3
2016:1:4:7:SANXIA_B	+886972576153	Beginner	0	0	1	3
2016:1:4:7:SHILIN_E	+886972576564	Intermediate	0	0	1	0
2016:1:4:7:SHILIN_S	+886972576543	Children	0	0	0	7
2016:1:4:7:SIYUAN_E	+886972576516	Advanced	0	0	1	2
2016:1:4:7:SONGSHAN_E	+886963938192	Beginner	0	0	6	5
2016:1:4:7:SONGSHAN_S	+886963572706	Intermediate	0	0	3	2
2016:1:4:7:TAIDONG_1_E	+886972576519	Children	0	0	1	3
2016:1:4:7:TAIDONG_1_S	+886972576596	Advanced	0	0	0	4
2016:1:4:7:TAIDONG_2_E	+886972576593	Beginner	0	0	5	3
2016:1:4:7:TAIDONG_2_S	+886972576150	Intermediate	0	0	2	4
2016:1:4:7:TAIDONG_3_E	+886965005802	Children	0	2	2	1
2016:1:4:7:TAO_1_A	+886972576556	Advanced	0	0	0	1
2016:1:4:7:TAO_1_B	+886972576588	Beginner	0	0	0	1
2016:1:4:7:TAO_2_E	+886963539987	Intermediate	1	0	2	3
2016:1:4:7:TAO_2_S	+886963719073	Children	0	0	1	0
2016:1:4:7:TAO_3_E	+886972576578	Advanced	0	0	2	3
2016:1:4:7:TAO_3_E_ZL	+886972576524	Beginner	0	0	0	5
2016:1:4:7:TIANMU_E	+886972576547	Intermediate	0	0	0	1
2016:1:4:7:TOUFEN_E	+886972576590	Children	1	0	0	4
2016:1:4:7:TOUR_S	+886963771573	Advanced	2	1	2	4
2016:1:4:7:TUCHENG_B_S	+886963536133	Beginner	0	2	0	3
2016:1:4:7:TUCHENG_E	+886972576539	Intermediate	0	0	3	2
2016:1:4:7:WANDA_A_S	+886972576559	Children	0	0	0	2
2016:1:4:7:WANDA_B_S	+886963932617	Advanced	0	0	1	1
2016:1:4:7:WANDA_E	+886972576562	Beginner	0	1	0	3
2016:1:4:7:XIANGSHAN_A	+886912576011	Intermediate	0	0	2	1
2016:1:4:7:XIANGSHAN_B	+886965073051	Children	0	0	0	3
2016:1:4:7:XINAN_S	+886972576561	Advanced	0	0	0	5
2016:1:4:7:XINBAN_E	+886972576506	Beginner	0	0	3	4
2016:1:4:7:XINDIAN_E	+886972576548	Intermediate	0	0	0	3
2016:1:4:7:XINDIAN_S	+886972576518	Children	0	0	0	4
2016:1:4:7:XINPU_E	+886972576504	Advanced	0	0	0	2
2016:1:4:7:XINPU_S	+886965113871	Beginner	0	1	1	2
2016:1:4:7:XINZHU_1_E	+886972576526	Intermediate	1	0	2	3
2016:1:4:7:XINZHU_1_S	+886972576569	Children	0	0	3	3
2016:1:4:7:XINZHU_3_E	+886972576563	Advanced	0	1	2	2
2016:1:4:7:XINZHU_3_S	+886963660292	Beginner	1	0	1	0
2016:1:4:7:XIZHI_A_E	+886972576509	Intermediate	0	2	1	1
2016:1:4:7:XIZHI_B_E	+886972576156	Children	0	0	0	3
2016:1:4:7:XIZHI_S	+886963873617	Advanced	0	0	1	2
2016:1:4:7:YILAN_E	+886972576558	Beginner	0	0	1	5
2016:1:4:7:YILAN_S	+886963917157	Intermediate	0	0	0	0
2016:1:4:7:YONGHE_S	+886972576513	Children	0	1	5	1
2016:1:4:7:YULI_E	+886972576594	Advanced	0	0	2	9
2016:1:4:7:YULI_S	+886972576538	Beginner	0	0	2	3
2016:1:4:7:ZHONGHE_1_E	+886972576514	Intermediate	0	0	0	2
2016:1:4:7:ZHONGHE_2_E	+886972576511	Children	0	0	1	6
2016:1:4:7:ZHONGHE_2_S	+886963535582	Advanced	0	1	2	2
2016:1:4:7:ZHONGLI_1_S	+886972576581	Beginner	0	0	1	2
2016:1:4:7:ZHONGLI_2_E	+886972576584	Intermediate	0	0	0	3
2016:1:4:7:ZHONGLI_E	+886972576568	Children	0	0	0	3
2016:1:4:7:ZHUBEI_1_E	+886972576582	Advanced	1	0	3	4
2016:1:4:7:ZHUBEI_1_S	+886972576540	Beginner	0	1	0	1
2016:1:4:7:ZHUBEI_2_E	+886972576583	Intermediate	1	0	1	0
2016:1:4:7:ZHUDONG_E	+886972576528	Children	0	0	0	4
2016:1:4:7:ZHUDONG_S	+886912576094	Advanced	1	0	2	2
2016:1:4:7:ZHUNAN_E	+886963761862	Beginner	1	0	0	1
2016:1:4:7:ZHUNAN_S	+886972576155	Intermediate	0	0	1	4
2016:1:4:7:ZHUWEI_E	+886912576043	Children	1	0	1	2
