		A	B	C	D	NEXTWEEKBAP	BAP	CON	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:2:7:NANKAN_S	+886972576377	0	0	3	2	1	0	0	5	0	6	6	4	0	2	0	0
2016:1:2:7:NEIHU_S	+886972576565	0	0	1	2	0	0	0	3	0	2	3	1	0	0	0	0
2016:1:2:7:NORTH_JINHUA_E	+886972576554	0	0	2	4	0	0	0	8	0	2	9	3	0	3	0	0
2016:1:2:7:OFFICE_E	+886910358944	0	0	0	1	0	0	0	1	0	2	5	0	0	0	0	0
2016:1:2:7:SANCHONG_E	+886963809216	0	0	2	2	0	0	0	4	0	8	2	2	0	1	0	0
2016:1:2:7:SANCHONG_S	+886972576587	0	1	2	0	0	0	0	3	0	3	8	1	0	1	0	0
2016:1:2:7:SANXIA_B	+886972576153	0	0	0	1	0	0	0	1	0	1	7	2	0	1	0	0
2016:1:2:7:SHILIN_E	+886972576564	0	1	1	1	1	0	0	3	0	3	8	0	0	2	0	0
2016:1:2:7:SHILIN_S	+886972576543	0	0	0	6	0	0	0	6	0	0	10	6	0	1	0	0
2016:1:2:7:SIYUAN_E	+886972576516	0	0	1	2	0	0	0	4	0	5	2	0	0	3	0	0
2016:1:2:7:SONGSHAN_E	+886963938192	0	0	4	5	0	1	0	13	0	6	1	1	0	3	0	0
2016:1:2:7:SONGSHAN_S	+886963572706	0	0	1	3	0	0	0	5	0	4	3	1	0	1	0	0
2016:1:2:7:TAIDONG_1_E	+886972576519	0	0	2	3	0	0	0	7	0	4	5	1	0	5	0	0
2016:1:2:7:TAIDONG_1_S	+886972576596	0	0	0	4	0	0	0	6	0	1	5	1	0	2	0	0
2016:1:2:7:TAIDONG_2_E	+886972576593	1	0	5	4	0	0	0	10	0	8	9	4	0	0	0	0
2016:1:2:7:TAIDONG_2_S	+886972576150	0	0	1	4	0	0	0	5	0	5	6	2	0	0	0	0
2016:1:2:7:TAIDONG_3_E	+886965005802	0	0	4	1	0	0	0	8	0	2	3	1	0	0	0	0
2016:1:2:7:TAO_1_A	+886972576556	0	0	0	1	0	0	0	1	0	0	7	0	0	1	0	0
2016:1:2:7:TAO_2_E	+886963539987	1	0	2	3	1	0	0	6	0	2	4	2	0	3	0	0
2016:1:2:7:TAO_2_S	+886963719073	0	0	1	0	0	0	0	2	0	3	1	3	0	1	0	0
2016:1:2:7:TAO_3_E	+886972576578	0	0	2	3	0	0	0	5	0	3	7	2	0	1	0	0
2016:1:2:7:TAO_3_E_ZL	+886972576524	0	0	0	4	0	0	0	7	0	6	10	8	0	0	0	0
2016:1:2:7:TIANMU_E	+886972576547	0	0	0	2	0	0	0	2	0	4	6	2	0	1	0	0
2016:1:2:7:TOUFEN_E	+886972576590	0	1	1	1	0	0	0	3	0	5	4	4	0	4	0	0
2016:1:2:7:TOUR_S	+886963771573	2	2	1	4	0	0	0	11	0	7	36	7	0	0	0	0
2016:1:2:7:TUCHENG_B_S	+886963536133	0	1	1	3	0	0	0	5	0	3	15	5	0	3	0	0
2016:1:2:7:TUCHENG_E	+886972576539	0	1	1	2	1	0	0	5	0	5	15	5	0	6	0	0
2016:1:2:7:WANDA_A_S	+886972576559	0	0	0	0	0	0	0	2	0	2	3	1	0	0	0	0
2016:1:2:7:WANDA_B_S	+886963932617	0	0	1	0	0	0	0	4	0	1	6	2	0	0	0	0
2016:1:2:7:WANDA_E	+886972576562	0	1	0	4	1	0	0	5	0	5	3	0	0	2	0	0
2016:1:2:7:XIANGSHAN_A	+886912576011	0	0	1	1	2	0	0	6	0	2	3	3	0	0	0	0
2016:1:2:7:XIANGSHAN_B	+886965073051	0	0	0	4	1	0	0	5	0	4	11	3	0	1	0	0
2016:1:2:7:XINAN_S	+886972576561	0	0	0	3	0	0	0	8	0	2	17	5	0	2	0	0
2016:1:2:7:XINBAN_E	+886972576506	0	0	2	3	0	0	0	7	0	13	4	3	0	1	0	0
2016:1:2:7:XINDIAN_E	+886972576548	0	0	0	2	0	0	0	2	0	5	4	1	0	0	0	0
2016:1:2:7:XINDIAN_S	+886972576518	0	0	1	6	1	0	0	7	0	6	3	2	0	2	0	0
2016:1:2:7:XINPU_E	+886972576504	1	0	0	1	1	0	0	4	0	5	3	1	0	0	0	0
2016:1:2:7:XINPU_S	+886965113871	0	0	1	3	2	0	0	4	0	10	5	0	0	3	0	0
2016:1:2:7:XINZHU_1_E	+886972576526	1	0	2	2	0	0	0	6	0	3	7	4	0	1	0	0
2016:1:2:7:XINZHU_1_S	+886972576569	0	0	3	3	0	0	0	10	0	6	5	4	0	3	0	0
2016:1:2:7:XINZHU_3_E	+886972576563	0	1	2	2	0	0	0	6	0	5	5	3	0	2	0	0
2016:1:2:7:XINZHU_3_S	+886963660292	1	0	1	0	0	0	0	5	0	5	6	1	0	0	0	0
2016:1:2:7:XIZHI_A_E	+886972576509	0	2	1	1	0	0	0	4	0	6	1	0	0	2	0	0
2016:1:2:7:XIZHI_B_E	+886972576156	0	0	0	2	1	0	0	5	0	5	8	1	0	0	0	0
2016:1:2:7:XIZHI_S	+886963873617	0	0	2	1	0	0	0	3	0	7	6	2	0	2	0	0
2016:1:2:7:YILAN_E	+886972576558	0	0	2	2	1	0	0	6	0	4	3	0	0	0	0	0
2016:1:2:7:YILAN_S	+886963917157	0	0	0	0	0	0	0	0	0	2	6	4	0	0	0	0
2016:1:2:7:YONGHE_S	+886972576513	1	0	5	3	1	0	0	15	0	6	17	7	0	4	0	0
2016:1:2:7:YULI_E	+886972576594	0	0	1	9	0	0	0	10	0	4	7	2	0	0	0	0
2016:1:2:7:YULI_S	+886972576538	0	0	0	2	1	0	0	2	0	1	7	2	0	1	0	0
2016:1:2:7:ZHONGHE_1_E	+886972576514	0	0	0	1	0	0	0	6	0	4	3	3	0	1	0	0
2016:1:2:7:ZHONGHE_2_E	+886972576511	0	0	0	7	0	0	0	7	0	3	5	2	0	0	0	0
2016:1:2:7:ZHONGHE_2_S	+886963535582	0	1	2	2	0	0	0	5	0	2	4	2	0	3	0	0
2016:1:2:7:ZHONGLI_1_S	+886972576581	0	0	1	2	0	0	0	4	0	4	2	2	0	1	0	0
2016:1:2:7:ZHONGLI_2_E	+886972576584	0	0	0	4	0	0	0	6	0	5	7	2	0	2	0	0
2016:1:2:7:ZHONGLI_E	+886972576568	0	0	0	3	0	0	0	7	0	4	5	2	0	6	0	0
2016:1:2:7:ZHUBEI_1_E	+886972576582	1	0	2	5	0	0	0	8	0	5	6	3	0	2	0	0
2016:1:2:7:ZHUBEI_1_S	+886972576540	2	1	0	1	2	0	0	4	0	6	8	10	0	4	0	0
2016:1:2:7:ZHUBEI_2_E	+886972576583	1	0	1	0	0	0	0	2	0	5	6	0	0	3	0	0
2016:1:2:7:ZHUBEI_2_S	+886972576574	0	0	1	3	0	0	0	4	0	4	7	2	0	1	0	0
2016:1:2:7:ZHUDONG_E	+886972576528	0	0	0	2	1	0	0	2	0	0	3	2	0	5	0	0
2016:1:2:7:ZHUDONG_S	+886912576094	2	0	2	2	0	0	0	6	0	6	4	0	0	1	0	0
2016:1:2:7:ZHUNAN_E	+886963761862	1	0	0	1	0	0	0	4	0	3	12	2	0	1	0	0
2016:1:2:7:ZHUNAN_S	+886972576155	0	1	1	4	0	0	0	7	0	5	5	6	0	3	0	0
2016:1:2:7:ZHUWEI_E	+886912576043	1	0	1	2	0	0	0	4	0	0	6	2	0	1	0	0
2016:1:4:7:ANKANG_E	+886972576529	0	0	1	2	1	0	0	3	4	9	8	2	0	4	1	0
2016:1:4:7:ASSISTANTS	+886972576500	0	0	7	3	0	0	0	18	5	15	13	9	0	2	1	0
2016:1:4:7:BADE_A_E	+886912576044	0	0	2	4	0	0	0	7	0	7	8	6	0	8	0	0
2016:1:4:7:BADE_B_E	+886972939022	0	1	4	0	1	0	0	10	2	8	9	5	0	2	2	0
2016:1:4:7:BADE_S	+886912576049	1	0	0	2	1	0	0	3	1	4	9	4	0	3	0	0
2016:1:4:7:BANQIAO_S	+886972961085	0	0	0	0	0	0	0	2	0	5	24	3	0	1	1	0
2016:1:4:7:BEITOU_E	+886972576546	0	0	0	1	0	0	0	1	2	4	3	3	0	8	1	0
2016:1:4:7:BEITOU_S	+886963790682	0	0	3	4	0	0	0	9	3	13	18	9	0	7	5	0
2016:1:4:7:DANFENG_E	+886972576517	0	2	3	3	0	1	1	8	2	7	3	1	0	6	3	0
2016:1:4:7:DANSHUI_E	+886963938175	1	1	1	3	1	0	0	6	1	9	8	3	0	2	2	0
2016:1:4:7:GUISHAN_E	+886972576585	0	0	4	2	0	1	1	12	1	8	9	4	0	2	0	0
2016:1:4:7:HUALIAN_1_E	+886972576536	0	0	2	3	1	0	0	6	0	9	16	6	0	5	0	0
2016:1:4:7:HUALIAN_1_S	+886972576591	0	0	0	3	0	1	1	5	1	8	11	7	0	6	2	0
2016:1:4:7:HUALIAN_3_A_E	+886963832102	0	0	3	0	1	0	0	4	1	4	6	5	0	2	1	0
2016:1:4:7:HUALIAN_3_B_E	+886965118137	0	0	3	6	0	0	0	9	1	9	3	3	0	5	1	0
2016:1:4:7:HUALIAN_3_S	+886972576512	0	0	3	0	0	0	0	5	3	11	26	9	0	4	3	0
2016:1:4:7:JIAN_E	+886972576592	0	1	1	2	1	0	0	7	1	7	8	6	0	8	0	0
2016:1:4:7:JILONG_A_E	+886972576520	0	0	2	5	4	0	0	7	3	9	5	4	0	8	0	0
2016:1:4:7:JILONG_B_E	+886972987783	0	0	0	3	0	0	0	3	5	5	3	3	0	16	5	0
2016:1:4:7:JINGXIN_E	+886972576508	0	0	2	6	10	0	0	13	3	10	19	14	0	4	0	0
2016:1:4:7:JINGXIN_S	+886972576573	0	0	0	1	0	0	0	1	0	3	9	2	0	2	0	0
2016:1:4:7:LONGTAN_E	+886972576560	0	0	1	1	0	0	0	4	2	5	7	1	0	3	2	0
2016:1:4:7:LUODONG_A_E	+886963917870	0	0	0	1	3	0	0	7	2	8	9	5	0	3	0	0
2016:1:4:7:LUODONG_B_E	+886963912027	0	0	1	6	3	0	0	10	3	7	15	4	0	4	0	0
2016:1:4:7:LUZHOU_E	+886972576542	1	0	3	1	0	0	0	5	1	6	7	4	0	5	1	1
2016:1:4:7:MIAOLI_A_E	+886963537337	0	0	1	2	1	0	0	3	0	7	10	5	0	2	1	0
2016:1:4:7:MIAOLI_B_E	+886963911267	0	0	1	1	0	3	0	6	3	5	0	1	0	3	0	0
2016:1:4:7:MUZHA_E	+886972576510	0	0	1	7	1	0	0	11	3	8	17	10	0	2	0	0
2016:1:4:7:MUZHA_S	+886963796383	0	0	2	5	0	0	0	7	2	8	11	5	0	3	0	0
2016:1:4:7:NANKAN_E	+886963731605	0	0	0	2	0	0	0	2	0	2	8	1	0	0	0	0
2016:1:4:7:NANKAN_S	+886972576377	0	1	2	2	1	0	0	6	3	9	17	7	0	5	3	0
2016:1:4:7:NEIHU_S	+886972576565	0	0	1	0	1	0	0	1	2	3	9	4	0	2	1	0
2016:1:4:7:NORTH_JINHUA_E	+886972576554	0	0	1	1	0	0	0	8	1	3	21	8	0	5	0	0
2016:1:4:7:SANCHONG_E	+886963809216	0	0	2	3	1	0	0	5	1	13	4	3	0	4	1	0
2016:1:4:7:SANCHONG_S	+886972576587	1	0	2	0	1	0	0	3	2	4	8	3	0	5	1	0
2016:1:4:7:SANXIA_A	+886963917982	0	0	0	3	0	0	0	7	1	6	12	9	0	5	1	0
2016:1:4:7:SANXIA_B	+886972576153	0	0	1	3	0	0	0	4	0	1	13	4	0	1	2	0
2016:1:4:7:SHILIN_E	+886972576564	0	0	1	0	0	1	1	2	2	5	18	4	0	5	2	0
2016:1:4:7:SHILIN_S	+886972576543	0	0	0	7	0	0	0	8	0	2	13	8	0	1	0	0
2016:1:4:7:SIYUAN_E	+886972576516	0	0	1	2	0	0	0	4	1	6	4	4	0	4	1	0
2016:1:4:7:SONGSHAN_E	+886963938192	0	0	6	5	0	1	1	14	3	18	6	5	0	4	1	0
2016:1:4:7:SONGSHAN_S	+886963572706	0	0	3	2	0	0	0	5	2	10	4	3	0	4	0	0
2016:1:4:7:TAIDONG_1_E	+886972576519	0	0	1	3	0	0	0	7	2	7	9	4	0	7	3	0
2016:1:4:7:TAIDONG_1_S	+886972576596	0	0	0	4	0	0	0	6	1	3	7	1	0	6	0	1
2016:1:4:7:TAIDONG_2_E	+886972576593	0	0	5	3	1	0	0	9	4	12	11	4	0	2	1	2
2016:1:4:7:TAIDONG_2_S	+886972576150	0	0	2	4	0	0	0	6	1	6	10	5	0	5	1	1
2016:1:4:7:TAIDONG_3_E	+886965005802	0	2	2	1	2	0	0	7	6	5	12	3	0	1	1	0
2016:1:4:7:TAO_1_A	+886972576556	0	0	0	1	0	0	0	1	1	4	13	0	0	1	0	0
2016:1:4:7:TAO_1_B	+886972576588	0	0	0	1	0	0	0	2	0	4	5	3	0	0	0	0
2016:1:4:7:TAO_2_E	+886963539987	1	0	2	3	1	0	0	6	0	4	8	4	0	5	1	0
2016:1:4:7:TAO_2_S	+886963719073	0	0	1	0	0	0	0	1	2	3	2	3	0	4	1	0
2016:1:4:7:TAO_3_E	+886972576578	0	0	2	3	0	0	0	5	1	3	12	3	0	1	0	0
2016:1:4:7:TAO_3_E_ZL	+886972576524	0	0	0	5	0	0	0	8	1	10	21	16	0	0	0	0
2016:1:4:7:TIANMU_E	+886972576547	0	0	0	1	0	0	0	1	0	4	12	3	0	1	0	0
2016:1:4:7:TOUFEN_E	+886972576590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016:1:4:7:TOUR_S	+886963771573	2	1	2	4	3	0	0	9	2	11	42	7	0	0	0	0
2016:1:4:7:TUCHENG_B_S	+886963536133	0	2	0	3	2	0	0	5	2	6	19	8	0	6	2	0
2016:1:4:7:TUCHENG_E	+886972576539	0	0	3	2	0	0	0	6	5	11	25	8	0	9	6	0
2016:1:4:7:WANDA_A_S	+886972576559	0	0	0	2	0	0	0	3	0	5	4	2	0	0	1	0
2016:1:4:7:WANDA_B_S	+886963932617	0	0	1	1	0	0	0	5	0	6	18	3	0	0	1	0
2016:1:4:7:WANDA_E	+886972576562	0	1	0	3	1	0	0	4	1	8	10	2	0	3	0	0
2016:1:4:7:XIANGSHAN_A	+886912576011	0	0	2	1	2	0	0	3	1	4	4	3	0	0	0	0
2016:1:4:7:XIANGSHAN_B	+886965073051	0	0	0	3	2	0	0	4	0	11	21	11	0	2	0	0
2016:1:4:7:XINAN_S	+886972576561	0	0	0	5	0	0	0	5	0	10	32	8	0	7	0	0
2016:1:4:7:XINBAN_E	+886972576506	0	0	3	4	0	0	0	9	3	14	5	5	0	3	1	0
2016:1:4:7:XINDIAN_E	+886972576548	0	0	0	3	0	0	0	3	1	8	8	5	0	3	0	0
2016:1:4:7:XINDIAN_S	+886972576518	0	0	0	4	1	0	0	4	1	10	6	3	0	5	1	0
2016:1:4:7:XINPU_E	+886972576504	0	0	0	2	1	1	1	3	1	8	6	3	0	5	0	0
2016:1:4:7:XINPU_S	+886965113871	0	1	1	2	1	0	0	4	1	11	10	1	0	6	3	0
2016:1:4:7:XINZHU_1_E	+886972576526	1	0	2	3	1	0	0	6	2	6	8	5	0	3	2	0
2016:1:4:7:XINZHU_1_S	+886972576569	0	0	3	3	0	0	0	10	0	10	9	7	0	8	4	0
2016:1:4:7:XINZHU_3_E	+886972576563	0	1	2	2	0	0	0	6	2	7	11	3	0	7	1	0
2016:1:4:7:XINZHU_3_S	+886963660292	1	0	1	0	0	0	0	6	2	7	14	2	0	0	3	0
2016:1:4:7:XIZHI_A_E	+886972576509	0	2	1	1	2	0	0	4	2	8	9	4	0	7	0	0
2016:1:4:7:XIZHI_B_E	+886972576156	0	0	0	3	2	0	0	4	2	10	12	5	0	1	0	0
2016:1:4:7:XIZHI_S	+886963873617	0	0	1	2	2	0	0	4	3	10	15	8	0	5	0	0
2016:1:4:7:YILAN_E	+886972576558	0	0	1	5	0	0	0	6	0	7	12	5	0	1	0	0
2016:1:4:7:YILAN_S	+886963917157	0	0	0	0	1	0	0	1	0	2	19	7	0	1	0	0
2016:1:4:7:YONGHE_S	+886972576513	0	1	5	1	0	1	1	16	3	10	28	11	0	7	1	0
2016:1:4:7:YULI_E	+886972576594	0	0	2	9	0	0	0	11	1	8	14	5	0	1	1	0
2016:1:4:7:YULI_S	+886972576538	0	0	2	3	0	0	0	5	2	2	13	6	0	1	3	0
2016:1:4:7:ZHONGHE_1_E	+886972576514	0	0	0	2	0	0	0	7	2	7	7	5	0	0	3	0
2016:1:4:7:ZHONGHE_2_E	+886972576511	0	0	1	6	0	0	0	7	2	8	11	2	0	2	2	0
2016:1:4:7:ZHONGHE_2_S	+886963535582	0	1	2	2	0	0	0	5	1	10	7	6	0	4	1	0
2016:1:4:7:ZHONGLI_1_S	+886972576581	0	0	1	2	0	0	0	4	4	8	5	4	0	2	1	0
2016:1:4:7:ZHONGLI_2_E	+886972576584	0	0	0	3	0	0	0	4	0	6	11	3	0	4	0	0
2016:1:4:7:ZHONGLI_E	+886972576568	0	0	0	3	0	0	0	9	0	4	10	3	0	13	0	0
2016:1:4:7:ZHUBEI_1_E	+886972576582	1	0	3	4	0	0	0	8	2	9	12	5	0	3	1	0
2016:1:4:7:ZHUBEI_1_S	+886972576540	0	1	0	1	0	2	2	2	0	9	10	11	0	7	1	0
2016:1:4:7:ZHUBEI_2_E	+886972576583	1	0	1	0	0	0	0	2	2	6	11	0	0	7	0	0
2016:1:4:7:ZHUDONG_E	+886972576528	0	0	0	4	3	0	0	4	0	2	5	3	0	6	3	0
2016:1:4:7:ZHUDONG_S	+886912576094	1	0	2	2	0	1	1	5	2	10	4	0	0	6	2	0
2016:1:4:7:ZHUNAN_E	+886963761862	1	0	0	1	0	0	0	4	1	5	14	2	0	4	0	0
2016:1:4:7:ZHUNAN_S	+886972576155	0	0	1	4	1	0	0	7	4	9	10	7	0	7	1	0
2016:1:4:7:ZHUWEI_E	+886912576043	1	0	1	2	1	0	0	4	1	0	12	4	0	3	1	0
2016:1:5:7:ANKANG_E	+886972576529	0	0	3	3	0	0	0	6	3	13	7	5	0	5	1	0
2016:1:5:7:ASSISTANTS	+886972576500	0	0	7	5	0	0	0	14	3	8	12	7	0	7	1	0
2016:1:5:7:BADE_A_E	+886912576044	0	0	0	3	0	0	0	4	0	5	8	3	0	9	0	0
2016:1:5:7:BADE_B_E	+886972939022	0	1	3	1	0	1	1	10	2	7	7	5	0	5	2	0
2016:1:5:7:BADE_S	+886912576049	1	0	0	3	1	0	0	4	0	9	4	6	0	6	0	1
2016:1:5:7:BANQIAO_S	+886972961085	0	0	1	1	0	0	0	2	0	5	23	1	0	0	0	0
2016:1:5:7:BEITOU_E	+886972576546	0	0	0	1	0	0	0	2	1	6	10	5	0	5	0	0
2016:1:5:7:BEITOU_S	+886963790682	0	1	0	4	0	0	0	9	1	9	16	5	0	5	1	0
2016:1:5:7:DANFENG_E	+886972576517	0	1	3	3	0	1	1	7	3	2	3	0	0	2	1	0
2016:1:5:7:DANSHUI_E	+886963938175	1	1	2	2	1	0	0	7	0	9	10	8	0	4	2	0
2016:1:5:7:GUISHAN_E	+886972576585	0	0	4	0	0	0	0	5	0	6	7	1	0	4	0	0
2016:1:5:7:HUALIAN_1_E	+886972576536	0	0	1	4	0	0	0	9	0	7	11	5	0	5	1	0
2016:1:5:7:HUALIAN_1_S	+886972576591	0	0	0	3	0	0	0	8	1	4	13	6	0	2	2	0
2016:1:5:7:HUALIAN_3_A_E	+886963832102	0	0	3	0	0	0	0	6	2	5	6	4	0	5	0	0
2016:1:5:7:HUALIAN_3_B_E	+886965118137	0	0	3	4	0	0	0	7	1	6	19	5	0	5	0	3
2016:1:5:7:HUALIAN_3_S	+886972576512	0	0	3	0	0	0	0	7	3	8	11	5	0	3	0	0
2016:1:5:7:JIAN_E	+886972576592	0	0	1	1	0	0	0	2	4	11	7	4	0	5	1	0
2016:1:5:7:JILONG_A_E	+886972576520	0	1	2	4	0	0	0	7	3	11	1	5	0	9	2	0
2016:1:5:7:JILONG_B_E	+886972987783	0	0	0	5	0	0	0	5	1	9	3	2	0	7	3	1
2016:1:5:7:JINGXIN_E	+886972576508	0	0	5	2	0	0	0	10	6	8	13	14	0	4	5	0
2016:1:5:7:JINGXIN_S	+886972576573	0	0	0	1	0	0	0	1	2	3	9	1	0	2	0	0
2016:1:5:7:LONGTAN_E	+886972576560	1	0	0	1	0	0	0	3	4	6	13	3	0	4	1	0
2016:1:5:7:LUODONG_A_E	+886963917870	0	0	0	1	0	0	0	7	4	11	1	6	0	5	0	0
2016:1:5:7:LUODONG_B_E	+886963912027	0	1	0	6	0	0	0	9	2	5	13	4	0	4	1	0
2016:1:5:7:LUZHOU_A_E	+886972576542	0	0	2	2	0	1	1	4	1	8	4	1	0	4	2	1
2016:1:5:7:LUZHOU_B_E	+886965008522	0	0	0	0	0	0	0	3	0	1	12	4	0	2	0	0
2016:1:5:7:MIAOLI_A_E	+886963537337	0	0	1	2	0	0	0	3	3	7	5	7	0	4	3	0
2016:1:5:7:MIAOLI_B_E	+886963911267	0	0	1	2	0	0	0	5	3	5	11	0	0	2	0	0
2016:1:5:7:MUZHA_E	+886972576510	0	0	3	4	0	0	0	12	3	5	18	14	0	4	2	0
2016:1:5:7:MUZHA_S	+886963796383	0	0	1	2	0	0	0	3	2	6	26	8	0	1	0	0
2016:1:5:7:NEIHU_E	+886972576570	0	0	1	1	0	1	1	2	0	9	7	4	0	4	3	0
2016:1:5:7:NEIHU_S	+886972576565	0	0	0	2	0	0	0	2	2	4	9	1	0	3	1	0
2016:1:5:7:NORTH_JINHUA_E	+886972576554	0	0	3	6	0	0	0	12	1	9	20	7	0	5	1	0
2016:1:5:7:OFFICE_E	+886910358944	0	0	0	1	0	0	0	1	0	2	3	0	0	2	0	0
2016:1:5:7:SANCHONG_E	+886963809216	0	0	2	0	0	1	1	4	3	12	5	3	0	5	1	0
2016:1:5:7:SANCHONG_S	+886972576587	0	0	0	0	0	0	0	0	1	2	14	6	0	2	0	0
2016:1:5:7:SANXIA_A	+886963917982	0	0	0	4	0	0	0	6	0	6	20	10	0	2	1	0
2016:1:5:7:SANXIA_B	+886972576153	0	0	0	6	0	0	0	6	4	7	12	6	0	1	1	0
2016:1:5:7:SHILIN_E	+886972576564	0	0	0	1	0	0	0	1	1	5	14	2	0	5	0	0
2016:1:5:7:SHILIN_S	+886972576543	0	0	0	2	0	0	0	2	0	4	7	4	0	2	1	0
2016:1:5:7:SIYUAN_E	+886972576516	0	0	1	1	0	0	0	5	1	4	17	8	0	7	1	0
2016:1:5:7:SONGSHAN_E	+886963938192	0	0	7	4	1	0	0	12	2	16	8	4	0	6	4	0
2016:1:5:7:SONGSHAN_S	+886963572706	0	0	2	2	0	0	0	4	0	9	7	5	0	4	3	0
2016:1:5:7:TAIDONG_1_E	+886972576519	0	0	2	3	0	0	0	9	2	7	9	4	0	3	1	1
2016:1:5:7:TAIDONG_1_S	+886972576596	0	0	0	2	0	0	0	3	0	4	16	4	0	3	1	0
2016:1:5:7:TAIDONG_2_E	+886972576593	1	0	5	4	1	0	0	9	6	15	4	5	0	1	2	0
2016:1:5:7:TAIDONG_2_S	+886972576150	0	0	2	2	0	0	0	4	4	7	7	2	0	4	1	0
2016:1:5:7:TAIDONG_3_E	+886965005802	0	2	4	2	2	0	0	9	3	6	14	3	0	1	2	0
2016:1:5:7:TAO_1_A	+886972576556	0	0	1	0	0	0	0	1	3	1	17	1	0	2	1	0
2016:1:5:7:TAO_1_B	+886972576588	0	0	0	0	0	0	0	1	0	5	4	0	0	4	0	0
2016:1:5:7:TAO_2_E	+886963539987	1	0	2	3	1	0	0	6	0	4	6	4	0	3	0	0
2016:1:5:7:TAO_2_S	+886963719073	0	0	1	0	0	0	0	2	2	2	11	2	0	4	2	0
2016:1:5:7:TAO_3_E	+886963731605	0	0	0	2	0	0	0	2	0	4	1	4	0	1	0	0
2016:1:5:7:TAO_3_E_ZL	+886972576524	0	0	1	5	0	0	0	9	2	8	12	5	0	3	0	0
2016:1:5:7:TAO_4_E	+886972576578	0	0	2	4	0	0	0	7	0	4	13	3	0	2	1	0
2016:1:5:7:TAO_4_S	+886972576377	0	0	2	2	0	1	1	5	0	10	18	7	0	5	1	0
2016:1:5:7:TIANMU_E	+886972576547	0	0	0	1	0	0	0	1	0	2	10	1	0	1	1	0
2016:1:5:7:TOUFEN_E	+886972576590	1	0	1	3	1	1	1	5	3	8	6	1	0	6	2	0
2016:1:5:7:TOUR_S	+886963771573	0	0	3	2	0	1	1	5	1	9	29	3	0	4	0	0
