PH_NUMBER,AREA_NAME,DISTRICT_NAME,ZONE_NAME,WARD_NAME,STAKE_NAME,ENGLISH_UNIT_NAME,REPORT_REQUIRED,ENGLISH_REQUIRED,GEOG_AREAS
0972263507,435,,TAIZHONG_SOUTH,,,,0,0,"GAOXIONG,TAIZHONG_SOUTH,???YANCHENG,GUSHAN,ZUOYING,NANZI,SANMIN,XINXING,QIANJIN,LINGYA,QIANZHEN,QIJIN,XIAOGANG,FENGSHAN,LINYUAN,DALIAO,DASHU,DASHE,RENWU,NIAOSONG,GANGSHAN,QIAOTOU,YANCHAO,TIANLIAO,ALIAN,GAOXIONG_LUZHU,HUNEI,QIEDING,YONGAN,MITUO,ZIGUAN,QISHAN,MEINONG,LIUGUI,JIAXIAN,SHANLIN,NEIMEN,MAOLIN,GAOXIONG_TAOYUAN,NAMAXIA,JIAYI,TAIBAO,PUZI,BUDAI,DALIN,MINXIONG,XIKOU,XINGANG,LIUJIAO,JIAYI_DONGSHI,YIZHU,LUCAO,SHUISHANG,ZHONGPU,ZHUQI,MEISHAN,FANLU,DAPU,ALISHAN,NANTOU,NANTOU_CITY,PULI,CAOTUN,ZHUSHAN,JIJI,MINGJIAN,LUGU,ZHONGLIAO,YUCHI,GUOXING,SHUILI,NANYOU_XINYI,NANYOU_RENAI,PENGHU,MAGONG,HUXI,BAISHA,XIYU,WANGAN,QIMEI,PINGDONG,PINGDONG_CITY,CHAZHOU,DONGANG,DONGGANG,HENGCHUN,WANDAN,CHANGZHI,LINLUO,JIURU,LIGANG,YANPU,GAOSHU,WANLUAN,NEIPU,ZHUTIAN,XINPI,FANGLIAO,XINYUAN,KANDING,LINBIAN,NANZHOU,JIADONG,LIUQIU,CHECHENG,MANZHOU,FANGSHAN,SANDIMEN,WUTAI,MAJIA,TAIWU,LAIYI,CHUNRI,SHIZI,MUDAN,TAINAN,XINYING,YANSHUI,BAIHE,LIUYING,HOUBI,DONGSHAN,MADOU,XIAYING,LIUJIA,GUANTIAN,DANEI,JIALI,XUEJIA,XIGANG,QIGU,JIANGJUN,BEIMEN,XINHUA,SHANHUA,XINSHI,ANDING,SHANSHANGQU,YUJING,NANXI,NANHUA,ZUOZHEN,RENDE,GUIREN,GUANMIAO,LONGQI,YONGKANG,TAINAN_EAST,TAINAN_SOUTH,TAINAN_NORTH,ANNAN,ANPING,WEST_CENTRAL,TAIZHONG,NANTUN,BEITUN,FENGYUAN,TAIZHONG_DONGSHI,DAJIA,QINGSHUI,SHALU,WUQI,HOULI,SHENGANG,TANZI,DAYA,XINSHE,SHIGANG,WAIPU,TAIZHONG_DAAN,WURI,DADU,LONGJING,WUFENG,TAIPING,DALI,HEPING,TAIZHONG_WEST,TAIZHONG_EAST,XITUN,TAIZHONG_CENTRAL,TAIZHONG_NORTH,TAIZHONG_SOUTH,YUNLIN,DOULIU,DOUNAN,HUWEI,XILUO,TUKU,BEIGANG,GUKENG,DAPI,CITONG,LINNEI,ERLUN,LUNBEI,MAILIAO,YULIN_DONGSHI,BAOZHONG,TAIXI,YUANCHANG,SIHU,KOUHU,SHUILIN,ZHANGHUA,ZHANGHUA_CITY,YUANLIN,LUGANG,HEMEI,BEIDOU,ZHANGHUA_XIHU,TIANZHONG,ERLIN,XIANXI,SHENGANG,ZHANGHUA_FUXING,XIUSHUI,HUATAN,FENYUAN,DACUN,PUYAN,PUXIN,YONGJING,SHETOU,ERSHUI,TIANWEI,PITOU,FANGYUAN,DACHENG,ZHUTANG,XIZHOU,??,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,????,??,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,????,??,???,???,???,???,???,???,???,???,???,???,???,???,???,??,???,???,???,???,???,???,??,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,????,???,???,???,???,???,???,???,??,??,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,????,????,????,????,????,????,???,???,???,??,??,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,?????,?????,???,???,???,???,???,???,???,????,????,????,????,???,????,????,????,????,????,????,??,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,??,???,???,???,???,???,???,???,???,???,???,?????,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???"
0975152718,436,,TAIZHONG_SOUTH,,,,0,0,
0972263520,437,,TAIZHONG_SOUTH,,,,0,0,
0972263505,438,,TAIZHONG_SOUTH,,,,0,0,
0972263504,439,,TAIZHONG_EAST,,,,0,0,
0975877635,441,,TAIZHONG_WEST,,,,0,0,
0972263565,450,,PINGDONG,,,,0,0,
0972263564,451,,PINGDONG,,,,0,0,
0975503229,453,,TAIZHONG_EAST,,,,0,0,
0972377650,454,,TAIZHONG_EAST,,,,0,0,
0972263516,456,,TAIZHONG_EAST,,,,0,0,
0975118036,462,,GAOXIONG_NORTH,,,,0,0,
0972263539,463,,GAOXIONG_NORTH,,,,0,0,
0972263554,465,,GAOXIONG_NORTH,,,,0,0,
0988967883,466,,GAOXIONG_NORTH,,,,0,0,
0972263551,530,,GAOXIONG_WEST,,,,0,0,
0972576300,532,,GAOXIONG_WEST,,,,0,0,
0972263512,546,,TAIZHONG_EAST,,,,0,0,
0972263517,547,,TAIZHONG_SOUTH,,,,0,0,
0972263518,548,,TAIZHONG_SOUTH,,,,0,0,
0972263519,549,,TAIZHONG_SOUTH,,,,0,0,
0973263502,552,,TAIZHONG_EAST,,,,0,0,
0972263511,553,,TAIZHONG_EAST,,,,0,0,
0972377635,554,,TAIZHONG_EAST,,,,0,0,
0972377675,562,,GAOXIONG_WEST,,,,0,0,
0972263557,563,,GAOXIONG_WEST,,,,0,0,
0972263552,580,,GAOXIONG_NORTH,,,,0,0,
0972263553,583,,GAOXIONG_NORTH,,,,0,0,
0972263558,588,,GAOXIONG_WEST,,,,0,0,
0975877605,589,,GAOXIONG_WEST,,,,0,0,
0975686572,590,,GAOXIONG_WEST,,,,0,0,
0975861833,611,,PINGDONG,,,,0,0,
0972377672,612,,PINGDONG,,,,0,0,
0975556780,613,,PINGDONG,,,,0,0,
0975862963,633,,PINGDONG,,,,0,0,
0972263567,634,,PINGDONG,,,,0,0,
0972263561,651,,GAOXIONG_NORTH,,,,0,0,
0972263510,662,,TAIZHONG_WEST,,,,0,0,
0972263500,663,,TAIZHONG_WEST,,,,0,0,
0972263515,664,,TAIZHONG_WEST,,,,0,0,
0972263523,667,,TAIZHONG_WEST,,,,0,0,
0975117219,668,,TAIZHONG_WEST,,,,0,0,
0978851073,669,,TAIZHONG_WEST,,,,0,0,
0972263570,671,,PINGDONG,,,,0,0,
0972263560,701,,PINGDONG,,,,0,0,
0972263527,768,,ZHONGXING,,,,0,0,
0972263528,769,,ZHONGXING,,,,0,0,
0972377691,770,,ZHONGXING,,,,0,0,
0972263529,772,,ZHONGXING,,,,0,0,
0978853607,773,,ZHONGXING,,,,0,0,
0978809213,789,,JIAYI,,,,0,0,
0972263540,790,,JIAYI,,,,0,0,
0972377695,875,,ZHONGXING,,,,0,0,
0972263521,878,,ZHONGXING,,,,0,0,
0972263522,880,,ZHONGXING,,,,0,0,
0972263530,983,,ZHONGXING,,,,0,0,
0975877667,984,,ZHONGXING,,,,0,0,
0972263531,985,,ZHONGXING,,,,0,0,
0972263524,989,,ZHONGXING,,,,0,0,
0972263538,995,,JIAYI,,,,0,0,
0972576529,ANKANG_E,XINDIAN,SOUTH,ANKANG,SOUTH,ANKANG,1,1,"ANKANG,??"
0972576500,ASSISTANTS,XINAN,CENTRAL,XINAN,CENTRAL,,1,0,"DAAN,NEW_TAIPEI,???,???"
0972576501,ASSISTANTS,XINAN,CENTRAL,XINAN,CENTRAL,,1,0,"DAAN,NEW_TAIPEI,???,???"
0912576044,BADE_A_E,BADE,TAOYUAN,BADE,TAOYUAN,BADE,1,1,"BADE,DAXI,FUXING,???,??,???,???"
0972939022,BADE_B_E,BADE,TAOYUAN,BADE,TAOYUAN,BADE,1,1,"YINGGE,???"
0912576049,BADE_S,BADE,TAOYUAN,BADE,TAOYUAN,BADE,1,1,"BADE,???"
0972961085,BANQIAO_S,BANQIAO,WEST,XINBAN,WEST,XINBAN,1,1,"BANQIAO,??,???"
0972576546,BEITOU_E,BEITOU,NORTH,BEITOU,NORTH,BEITOU,1,1,"BEITOU,???,??"
0963790682,BEITOU_S,BEITOU,NORTH,BEITOU,NORTH,BEITOU,1,1,"BEITOU,???,??"
0972576517,DANFENG_E,XINZHUANG,WEST,DANFENG,WEST,XINZHUANG,1,1,"XINZHUANG,TAISHAN,LINKOU,??,??,???,??,???"
0912576043,DANSHUI_A_E,BEITOU,NORTH,DANSHUI,NORTH,DANSHUI,1,1,"BALI,DANSHUI,???,???"
0963938175,DANSHUI_B_E,BEITOU,NORTH,DANSHUI,NORTH,DANSHUI,1,1,"DANSHUI,SANZHI,SHIMEN,JINSHAN,???,??,???,???,???"
0972576585,GUISHAN_E,TAOYUAN_1_2,TAOYUAN,GUISHAN,TAOYUAN,TAOYUAN_1_2,1,1,"GUISHAN,???,??"
0972576536,HUALIAN_1_E,JIAN,HUALIAN,HUALIAN_1,HUALIEN,HUALIAN,1,1,"HUALIEN_CITY,???"
0972576512,HUALIAN_1_S,JIAN,HUALIAN,HUALIAN_1,HUALIEN,HUALIAN,1,1,"HUALIEN_CITY,???"
0963932617,HUALIAN_2_E,JIAN,HUALIAN,HUALIAN_2,HUALIEN,HUALIAN,1,1,"FENGLIN,JIAN,SHOUFENG,GUANGFU,FENGBIN,WANRONG,HUALIAN,???,???,??,???,???,???,???,??"
0972576592,HUALIAN_2_ZL,JIAN,HUALIAN,HUALIAN_2,HUALIEN,HUALIAN,1,1,"FENGLIN,JIAN,SHOUFENG,GUANGFU,FENGBIN,WANRONG,HUALIAN,???,???,??,???,???,???,???,??"
0963832102,HUALIAN_3_E,HUALIAN,HUALIAN,HUALIAN_3,HUALIEN,HUALIAN,1,1,"XINCHENG,XIULIN,???,???,HUALIEN_CITY,???"
0972576591,HUALIAN_3_S,HUALIAN,HUALIAN,HUALIAN_3,HUALIEN,HUALIAN,1,1,"HUALIEN_CITY,???"
0972576520,JILONG_A_E,JILONG,EAST,JILONG,EAST,JILONG,1,1,"RUIFANG,SHUANGXI,GONGLIAO,JILONG,JILONG_ZHONGSHAN,JILONG_ZHONGZHENG,???,??,???,???,???,??,?????,??_???"
0972987783,JILONG_B_E,JILONG,EAST,JILONG,EAST,JILONG,1,1,"PINGXI,WANLI,JILONG,QIDU,NUANNUAN,JILONG_RENAI,JILONG_ZHONGSHAN,JILONG_ANLE,JILONG_XINYI,???,???,???,??,???,??,???,??_???,??_???,??_???,??_???"
0972576508,JINGXIN_E,JINGXIN,SOUTH,JINGXIN,SOUTH,XINDIAN,1,1,"XINDIAN,JINGMEI,??"
0972576573,JINGXIN_S,JINGXIN,SOUTH,JINGXIN,SOUTH,XINDIAN,1,1,"XINDIAN,JINGMEI,??"
0965113871,JINHUA_S,JINHUA,CENTRAL,JINHUA,CENTRAL,WANDA,1,1,"DAAN,???"
0972576560,LONGTAN_E,BADE,TAOYUAN,LONGTAN,TAOYUAN,LONGTAN,1,1,"LONGTAN,???,??"
0963917870,LUODONG_A_E,YILAN,EAST,YILAN,EAST,YILAN,1,1,"LUODONG,DONGSHAN,SANXING,YILAN_DATONG,NANAO,??,???,???,???,??_???,???,???"
0963912027,LUODONG_B_E,YILAN,EAST,YILAN,EAST,YILAN,1,1,"LUODONG,DONGSHAN,SANXING,YILAN_DATONG,NANAO,??,???,???,???,??_???,???,???"
0972576542,LUZHOU_A_E,SANCHONG,CENTRAL,LUZHOU,CENTRAL,SANCHONG,1,1,"LUZHOU,WUGU,??,???,??,???"
0965008522,LUZHOU_B_E,SANCHONG,CENTRAL,LUZHOU,CENTRAL,SANCHONG,1,1,"LUZHOU,WUGU,??,???,??,???"
0963911267,MIAOLI_E,TOUFEN_MIAOLI,ZHUNAN,MIAOLI,HSINCHU,MIAOLI,1,1,"HOULONG,ZHUOLAN,DAHU,GONGGUAN,TONGLUO,TOUWU,SANYI,XIHU,SHITAN,TAIAN,TONGXIAO,YUANLI,MIAOLI,???,??,???,??,???,???,???,???,??,???,???,???,??,???,???,???,??,???"
0972576510,MUZHA_E,JINGXIN,SOUTH,MUZHA,SOUTH,MUZHA,1,1,"SHENKENG,SHIDING,PINGLIN,WENSHAN,???,???,???,???"
0963796383,MUZHA_S,JINGXIN,SOUTH,MUZHA,SOUTH,MUZHA,1,1,"SHENKENG,SHIDING,PINGLIN,WENSHAN,???,???,???,???"
0972576570,NEIHU_E,SONGSHAN,EAST,NEIHU,EAST,NEIHU,1,1,"NEIHU,???,??"
0972576565,NEIHU_S,SONGSHAN,EAST,NEIHU,EAST,NEIHU,1,1,"NEIHU,???,??"
0972576554,NORTH_JINHUA_E,JINHUA,CENTRAL,JINHUA,CENTRAL,WANDA,1,1,"ZHONGSHAN,TAIPEI,TAIBEI,???,??,???,??,???,??"
0910358944,OFFICE_E,JINHUA,CENTRAL,JINHUA,CENTRAL,,1,0,
0972576566,OFFICE_E,JINHUA,CENTRAL,JINHUA,CENTRAL,,1,0,
0963809216,SANCHONG_E,SANCHONG,CENTRAL,SANCHONG,CENTRAL,SANCHONG,1,1,"SANCHONG,??,???"
0972576587,SANCHONG_S,SANCHONG,CENTRAL,SANCHONG,CENTRAL,SANCHONG,1,1,"SANCHONG,??,???"
0963917982,SANXIA_A,TUCHENG,WEST,SANXIA,WEST,SANXIA,1,1,"SANXIA,??,???"
0972576153,SANXIA_B,TUCHENG,WEST,SANXIA,WEST,SANXIA,1,1,"SANXIA,??,???"
0972576564,SHILIN_E,SHILIN,NORTH,SHILIN,NORTH,SHILIN,1,1,"SHILIN,???,??"
0972576543,SHILIN_S,SHILIN,NORTH,SHILIN,NORTH,SHILIN,1,1,"SHILIN,???"
0972576516,SIYUAN_E,XINZHUANG,WEST,SIYUAN,WEST,XINZHUANG,1,1,"XINZHUANG,???,??"
0963938192,SONGSHAN_E,SONGSHAN,EAST,SONGSHAN,EAST,SONGSHAN,1,1,"SONGSHAN,NANGANG,??,???,??,???"
0963572706,SONGSHAN_S,SONGSHAN,EAST,SONGSHAN,EAST,SONGSHAN,1,1,"SONGSHAN,???"
0972576519,TAIDONG_1_E,TAIDONG_1_3,TAIDONG,TAIDONG_1,HUALIEN,TAIDONG,1,1,"TAIDONG_CITY,???,???"
0972576596,TAIDONG_1_S,TAIDONG_1_3,TAIDONG,TAIDONG_1,HUALIEN,TAIDONG,1,1,"TAIDONG_CITY,???,???"
0972576593,TAIDONG_2_E,TAIDONG_2,TAIDONG,TAIDONG_2,HUALIEN,TAIDONG,1,1,"LANYU,JINFENG,DAREN,LVDAO,TAIMALI,DAWU,BEINAN,TAITUNG,TAIDONG,???,???,???,???,????,???,???,???,??,??,???"
0972576150,TAIDONG_2_S,TAIDONG_2,TAIDONG,TAIDONG_2,HUALIEN,TAIDONG,1,1,"LANYU,JINFENG,DAREN,LVDAO,TAIMALI,DAWU,BEINAN,TAITUNG,TAIDONG_CITY,???,???,???,???,????,???,???,???,???"
0965005802,TAIDONG_3_E,TAIDONG_1_3,TAIDONG,TAIDONG_3,HUALIEN,TAIDONG,1,1,"TAITUNG,CHENNGGONG,GUANSHAN,DONGHE,CHANGBIN,LUYE,CHISHANG,YANPING,HAIDUAN,???,???,???,???,???,???,???,???,???,???"
0972576556,TAO_1_A,TAOYUAN_1_2,TAOYUAN,TAOYUAN_1,TAOYUAN,TAOYUAN_1_2,1,1,"TAOYUAN,TAOYUAN_AREA,???"
0972576588,TAO_1_B,TAOYUAN_1_2,TAOYUAN,TAOYUAN_1,TAOYUAN,TAOYUAN_1_2,1,1,"TAOYUAN,TAOYUAN_AREA,???"
0963539987,TAO_2_E,TAOYUAN_1_2,TAOYUAN,TAOYUAN_2,TAOYUAN,TAOYUAN_1_2,1,1,"TAOYUAN,TAOYUAN_AREA,???"
0963719073,TAO_2_S,TAOYUAN_1_2,TAOYUAN,TAOYUAN_2,TAOYUAN,TAOYUAN_1_2,1,1,"TAOYUAN,TAOYUAN_AREA,???"
0963731605,TAO_3_E,TAOYUAN_3,TAOYUAN,TAOYUAN_3,TAOYUAN,TAOYUAN_3,1,1,"DAYUAN,??,???"
0972576524,TAO_3_E_ZL,TAOYUAN_3,TAOYUAN,TAOYUAN_3,TAOYUAN,TAOYUAN_3,1,1,"TAOYUAN,???,??"
0972576578,TAO_4_E,TAOYUAN_3,TAOYUAN,TAOYUAN_4,TAOYUAN,TAOYUAN_3,1,1,"LUZHU,??,???"
0972576377,TAO_4_S,TAOYUAN_3,TAOYUAN,TAOYUAN_4,TAOYUAN,TAOYUAN_3,1,1,"LUZHU,??,???"
0972576547,TIANMU_A_E,SHILIN,NORTH,TIANMU,NORTH,SHILIN,1,1,"TIANMU,??,???"
0963537337,TIANMU_B_E,SHILIN,NORTH,TIANMU,NORTH,SHILIN,1,1,"TIANMU,??,???"
0972576590,TOUFEN_E,TOUFEN_MIAOLI,ZHUNAN,TOUFEN,HSINCHU,TOUFEN,1,1,"NANZHUANG,SANWAN,TOUFEN,???,???,??,???"
0972576577,TOUR_S,JINHUA,CENTRAL,JINHUA,CENTRAL,,1,0,"DAAN,???"
0972576539,TUCHENG_E,TUCHENG,WEST,TUCHENG,WEST,TUCHENG,1,1,"TUCHENG,??,???"
0972576507,TUCHENG_S,TUCHENG,WEST,TUCHENG,WEST,TUCHENG,1,1,"SHULIN,TUCHENG,???,??,??,???"
0972576562,WANDA_E,XINAN,CENTRAL,WANDA,CENTRAL,WANDA,1,1,"ZHONGZHENG,WANHUA,???,???"
0972576559,WANDA_S,XINAN,CENTRAL,WANDA,CENTRAL,WANDA,1,1,"DATONG,???,ENGLISH_WARD,ENGLISH,ENGLISHWARD,??,????"
0912576011,XIANGSHAN_E,ZHUNAN,ZHUNAN,XIANGSHAN,HSINCHU,ZHUNAN,1,1,"BAOSHAN,XIANGSHAN,???,???,??"
0972576561,XINAN_S,XINAN,CENTRAL,XINAN,CENTRAL,,1,0,"XINYI,???"
0972576506,XINBAN_E,BANQIAO,WEST,XINBAN,WEST,XINBAN,1,1,"BANQIAO,??,???"
0972576548,XINDIAN_E,XINDIAN,SOUTH,XINDIAN,SOUTH,XINDIAN,1,1,"XINDIAN,WULAI,??,???,??,???"
0972576518,XINDIAN_S,XINDIAN,SOUTH,XINDIAN,SOUTH,XINDIAN,1,1,"XINDIAN,WULAI,??,???,??,???"
0972576504,XINPU_E,BANQIAO,WEST,XINPU,WEST,XINBAN,1,1,"BANQIAO,??,???"
0972576526,XINZHU_1_E,XINZHU,XINZHU,XINZHU_1,HSINCHU,XINZHU,1,1,"WEST,NORTH,??,??"
0972576569,XINZHU_1_S,XINZHU,XINZHU,XINZHU_1,HSINCHU,XINZHU,1,1,"WEST,NORTH,??,??"
0972576563,XINZHU_3_E,XINZHU,XINZHU,XINZHU_3,HSINCHU,XINZHU,1,1,"EAST,XINZHU,??,??"
0963660292,XINZHU_3_S,XINZHU,XINZHU,XINZHU_3,HSINCHU,XINZHU,1,1,"EAST,??"
0972576509,XIZHI_A_E,XIZHI,EAST,XIZHI,EAST,XIZHI,1,1,"XIZHI,???,??"
0972576156,XIZHI_B_E,XIZHI,EAST,XIZHI,EAST,XIZHI,1,1,"XIZHI,???,??"
0963873617,XIZHI_S,XIZHI,EAST,XIZHI,EAST,XIZHI,1,1,"XIZHI,???,??"
0972576558,YILAN_E,YILAN,EAST,YILAN,EAST,YILAN,1,1,"YILAN,YILAN_CITY,JIAOXI,YUANSHAN,??,???,???,???"
0963917157,YILAN_S,YILAN,EAST,YILAN,EAST,YILAN,1,1,"LUODONG,SUAO,TOUCHENG,ZHUANGWEI,WUJIE,???,??,???,??,???,???,???"
0972576513,YONGHE_S,SHUANGHE,SOUTH,YONGHE,SOUTH,SHUANGHE,1,1,"YONGHE,??,???"
0972576594,YULI_E,YULI,TAIDONG,YULI,HUALIEN,YULI,1,1,"YULI,FULI,ZHUOXI,???,??,???,???"
0972576538,YULI_S,YULI,TAIDONG,YULI,HUALIEN,YULI,1,1,"YULI,RUISUI,ZHUOXI,???,???,???"
0972576514,ZHONGHE_1_E,SHUANGHE,SOUTH,ZHONGHE_1,SOUTH,SHUANGHE,1,1,"ZHONGHE,???,??"
0972576511,ZHONGHE_2_E,SHUANGHE,SOUTH,ZHONGHE_2,SOUTH,SHUANGHE,1,1,"ZHONGHE,???,??"
0963535582,ZHONGHE_2_S,SHUANGHE,SOUTH,ZHONGHE_2,SOUTH,SHUANGHE,1,1,"ZHONGHE,???,??"
0972576568,ZHONGLI_1_E,ZHONGLI,TAOYUAN,ZHONGLI_1,TAOYUAN,ZHONGLI,1,1,"ZHONGLI,GUANYIN,??,???,???"
0972576581,ZHONGLI_1_S,ZHONGLI,TAOYUAN,ZHONGLI_1,TAOYUAN,ZHONGLI,1,1,"ZHONGLI,??, ???"
0972576584,ZHONGLI_2_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,ZHONGLI,1,1,"PINGZHEN,YANGMEI,XINWU,???,???,??,??,???"
0972576574,ZHUBEI_1_S,ZHUBEI,XINZHU,ZHUBEI_1,HSINCHU,ZHUBEI,1,1,"HUKOU,ZHUBEI,???,??"
0972576583,ZHUBEI_2_E,ZHUBEI,XINZHU,ZHUBEI_2,HSINCHU,ZHUBEI,1,1,"XINFENG,???,??"
0972576540,ZHUBEI_2_S,ZHUBEI,XINZHU,ZHUBEI_2,HSINCHU,ZHUBEI,1,1,"ZHUBEI,??, ???"
0972576582,ZHUBEI_3_E,ZHUBEI,XINZHU,ZHUBEI_3,HSINCHU,ZHUBEI,1,1,"GUANXI,HSINCHU_XINPU,ZHUBEI,???,???,???"
0972576528,ZHUDONG_E,ZHUDONG,XINZHU,ZHUDONG,HSINCHU,ZHUDONG,1,1,"ZHUDONG,BEIPU,EMEI,???,??,???,???"
0912576094,ZHUDONG_S,ZHUDONG,XINZHU,ZHUDONG,HSINCHU,ZHUDONG,1,1,"WUFENG,JIANSHI,XIONGLIN,HENGSHAN,ZHUDONG,???,???,???,???,???,??"
0972576155,ZHUNAN_S,ZHUNAN,ZHUNAN,ZHUNAN,HSINCHU,ZHUNAN,1,1,"ZHUNAN,???,??"
0963761862,ZHUNAN_ZL,ZHUNAN,ZHUNAN,ZHUNAN,HSINCHU,ZHUNAN,1,1,"ZAOQIAO,ZHUNAN,???,???,??"
